NAME,SPECIE,PREC,FRAG1,FRAG2,FRAG3,FA1INTENS,FA2INTENS,FA3INTENS,NLS,FAOINTENS,QUAN_MODE,QUAN_SCAN
PA 28:0,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 30:0,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 30:1,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 32:0,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 32:1,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 32:2,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 34:0,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 34:1,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 34:1,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 34:2,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 34:2,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 36:0,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 36:1,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 36:1,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 36:2,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 36:2,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 36:3,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 36:3,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 36:4,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 38:1,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 38:2,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 38:2,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 38:2,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 38:3,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 38:3,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 38:4,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 38:4,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 38:5,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 38:5,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 38:6,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 40:0,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 40:1,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 40:4,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 40:5,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 40:5,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 40:5,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 40:6,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 40:7,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 40:8,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 42:0,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 42:1,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 42:2,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 42:3,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 42:4,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 42:5,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 42:6,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 42:7,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 42:8,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 42:9,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 44:0,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 44:1,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 44:2,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 44:3,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 44:4,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 44:5,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 44:6,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 44:7,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 44:8,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 44:9,,1,0,0,0,0,0,0,0,0,NEG,PREC
PA 44:10,,1,0,0,0,0,0,0,0,0,NEG,PREC
