mol.,Sample_1,Sample_2,Sample_3,Sample_4
PA 32:0,0.011728612603804,0.0014725833286034,0,0
PA 34:2,0.00258746464818489,0,0,0
PA 34:1,0.0887996182219347,0.0192232578805748,0,0
PA 34:0,0.00221970115872814,0,0,0
PA 36:4,0.0035012147667692,0,0,0
PA 36:3,0.0418126194984918,0.00762943606353554,0.00848076115247903,0.00436303080508259
PA 36:2,0.0351743983632039,0.00662476118093767,0,0.00111789069213105
PA 38:6,0.00132343108745037,0,0,0
PA 38:5,0.0123833605762252,0.00255243993216528,0.00501924267876833,0.0016075732453393
PA 38:4,0.0121160767992578,0.00492469931964539,0,0
PA 38:3,0,0,0.0014124718186481,0
PA 40:8,0.00522301718286186,0,0,0
PA 40:5,0,0,0.00215554526761994,0
PA 44:10,0.00211096018845003,0,0,0
PE O-34:3,0.0222932526179504,0.011314335132563,0,0
PE O-34:2,0.258301424782509,0.124945293293267,0,0
PE O-34:1,0.00192180935375686,0.0017292722977398,0,0
PE O-36:6,0.00290017199054465,0,0,0
PE O-36:5,0.790627176401655,0.406786638812216,0,0
PE O-36:4,0.0618366071354483,0.0302239401401725,0,0
PE O-36:3,0.0942673163707644,0.0466872030084792,0,0
PE O-36:2,0.0780812180792652,0.0374158000407328,0.00243117159401009,0.00112493956674063
PE O-36:1,0.0024074854971441,0,0,0
PE O-38:7,0.685283756031979,0.362306709024395,0.0232887548707326,0.0175453436671488
PE O-38:6,0.601810258220624,0.307616264179596,0.00858880076940481,0.00726721518439987
PE O-38:5,1.18371661598236,0.581935928558747,0.0177639932993165,0.0133585247387804
PE O-38:4,0.1477472995376,0.0865278879685472,0.0116013694627733,0.0058839948889051
PE O-38:3,0.00187654769672797,0,0,0
PE O-40:8,0.182916618229785,0.108872718316245,0.00125217082077771,0.00187532619872866
PE O-40:7,0.461524883901391,0.247853136473068,0.0252345404271381,0.0191865452096231
PE O-40:6,0.40728923933522,0.211725985429994,0.0336645202428513,0.0180202134384618
PE O-40:5,0.25121686617713,0.12227996483502,0,0.00195290153627781
PE O-40:4,0.0762337380555741,0.0391264629373878,0.0150074270640291,0.00972268855614077
PE O-42:8,0.0024843503251695,0.00689737899834472,0,0
PE O-42:7,0.0303450886026691,0.0179861833051069,0.00244478812962393,0.00300759351101789
PE O-42:6,0.0475572334940713,0.0301720167347327,0.0133895045081229,0.00746938449810963
PE 32:1,0.0105419138186719,0.00394264642269763,0,0
PE 32:0,0.16507127799972,0.0796217902631609,0,0
PE 34:3,0.0184001690618497,0.00845602860897578,0,0
PE 34:2,0.359059593291486,0.174643916902888,0.00745270077476171,0.0110032089047836
PE 34:1,0.863198455569704,0.367610065215638,0,0
PE 34:0,0.064271922741149,0.00301305809699866,0,0
PE 36:5,0.158497320388206,0.0802314754265398,0,0
PE 36:4,1.58258994899191,0.786052207862588,0.0442155217369144,0.0325195056743678
PE 36:3,0.445569787584712,0.192629820902681,0,0.00140813463036003
PE 36:2,0.633204190266458,0.260801040759181,0.0235880926776885,0.0285703414640224
PE 36:1,0.247166679847157,0.0946638765008334,0,0.00203007225483362
PE 36:0,0.00130408357109843,0,0,0
PE 38:6,1.52949047162601,0.816029242105613,0.0742653211102011,0.0447521446114389
PE 38:5,4.01245189478076,1.91078670365889,0.0367671956363605,0.0273138529348026
PE 38:4,1.01264220698765,0.50921151729393,0.10624020890576,0.0723274801812028
PE 38:2,0.0569888935053067,0.0162308753708877,0,0.00295722959726468
PE 40:8,1.17035708477932,0.679801717361113,0,0
PE 40:7,1.28360892056576,0.629659296999136,0.018830386949664,0.0146284825174472
PE 40:6,0.803122434829957,0.385823099201067,0.033754088075838,0.0107955915715573
PE 40:5,0.788342823619261,0.3711332883714,0,0
PE 40:4,0,0,0.00207095338718421,0
PE 40:3,0.00134078037638878,0.0010453083506904,0,0
PE 42:8,0.0863497108554071,0.0491970734151696,0,0
PE 42:7,0.0287450535599107,0.016995580459842,0,0
PE 42:6,0,0.00993908505799034,0,0
PE 42:5,0,0.00349307439943469,0,0
PG 34:2,0.00191914292173808,0,0,0
PG 34:1,0.00503399904723878,0.00171600381767999,0,0
PG 34:0,0.01131725338421,0.00500598105425468,0,0
PG 36:4,0.00138274546652864,0,0,0
PG 36:3,0.00263560056949045,0.001350809535725,0,0
PG 36:2,0.0120379960432414,0.00335386639998405,0,0
PG 38:6,0.00114261674875453,0,0,0
PI 32:0,0.0419933919065673,0.0149850737792748,0,0
PI 34:2,0.175588097003036,0.0776001927139059,0.0133022233030393,0.00365713330211493
PI 34:1,0.0371140776213944,0.0128879729863229,0.00141282629687713,0.00157076626659188
PI 34:0,0.0623974090508817,0.0258804758449012,0,0
PI 36:4,0.49457888482405,0.202324390798231,0.0584488618962776,0.0486671836205227
PI 36:3,0,0.00375106209235312,0,0.00209859148475383
PI 36:2,0.0805706443929052,0.0290968233737933,0.0206038164657825,0.0166501714745899
PI 36:1,0.0104171189295578,0.00417139260844164,0,0
PI 36:0,0.00308610522754984,0,0,0
PI 38:6,0.0328002106135148,0.0139647246345705,0.00143422608171719,0.00287688474821177
PI 38:5,0.170035675967038,0.0699431650478256,0.0260270929128305,0.0239791582421319
PI 38:4,1.58199755542269,0.588017874256725,0.743853366239656,0.567253782044211
PI 40:8,0.0162730590867071,0.00791113453874558,0,0
PI 40:7,0.0128433855226818,0.00567216661344609,0.00385754300297425,0.00251039096637137
PI 40:6,0.034677870978881,0.0130217142228127,0.00414795190672163,0.00461236644527524
PI 40:5,0.0231883112675201,0.00951163457513584,0.00151635158417336,0.00181223464928241
PI 40:4,0.0480434033314607,0.017483554264975,0.00202064865062719,0.00255481647067181
PS 34:2,0.0110242707563831,0.00684521345191004,0,0
PS 34:1,0.0133055527433804,0.00852005725156728,0,0
PS 36:4,0.409680020138934,0.177263517758701,0,0
PS 36:2,0.0524604696304665,0.0245627919870405,0,0
PS 38:6,0.514974412433607,0.225563093369909,0,0
PS 38:5,0.548091303901539,0.261885709834712,0,0
PS 38:4,1.1470748215672,0.569184857526416,0,0
PS 40:8,1.37697795746099,0.727901047266014,0,0
PS 40:6,0.486195525057062,0.241309281906189,0,0
PS 40:5,0.0640161595259176,0.0315910522591722,0,0
PS 40:3,0.15438058190882,0.0128251149461909,0.119368593820342,0.147587393882294
PS 42:9,0.0407739756085476,0.0193977004331397,0,0
PS 42:5,0.0739490929649365,0.00895528673059436,0.0557405074556731,0.0715784508095425
PS 42:4,0.0341931486168804,0.00431351886351147,0.0202778276772039,0.0299290870057295
LPA 16:1,0.00596877718654031,0,0.00160029656013466,0.00123754345382293
LPA 16:0,0.243157701661392,0.0331536821894829,0.062632037099124,0.035865005112066
LPA 18:2,0.0400511457861144,0.00662454400132193,0.0253063104507916,0.015958461029869
LPA 18:1,0.0874972948497177,0,0.0261856200803367,0.01599852031281
LPA 18:0,0.174009401148075,0.0214563753775463,0.0287105295983181,0.0138064369837682
LPA 20:4,0.016531789300403,0.00277559918026802,0.0146407701960756,0.00809737483825095
LPE O-16:1,0.00174074296599286,0,0,0
LPE O-18:1,0.0018377735275095,0.00101540572856749,0,0
LPE 16:1,0.00137857834422671,0,0,0
LPE 16:0,0.0197768755620583,0.0314758558432714,0.0345114609365014,0.025962517290215
LPE 18:2,0.0158133395089158,0.0109545851067647,0.0189653382309757,0.0228469844047763
LPE 18:1,0.0482275948392318,0.0235250936479061,0.0154855482584129,0.0138991031998054
LPE 18:0,0.153818704305232,0.045570000078523,0.0440169667508997,0.0373044920613345
LPE 20:4,0.131597944699987,0.0715442845075343,0.0813252425893367,0.0616491575928377
LPE 22:6,0.0809730780118381,0.0448156727307353,0.0621690997052525,0.0414728872105408
LPE 22:5,0.0218347912637285,0.0119714242598236,0.00286794048500623,0.00190568259295846
LPE 22:4,0.0647400193042016,0.0291779705042635,0.00431036498781038,0.00401666311733468
LPG 14:0,0.00110112547011766,0,0,0
LPG 18:2,0.00147507252213159,0,0,0
LPG 18:1,0.00112674494332008,0,0,0
LPI 16:0,0.00406996760591586,0,0,0
LPI 18:1,0.00206424615900674,0,0,0
LPI 18:0,0.00434269954076282,0.00157602785148325,0,0
LPI 20:4,0.0159855858076958,0.00811425697855377,0.0247379405512298,0.0232550529843038
LPI 22:6,0.00129710503910845,0,0,0
LPS O-18:2,0.0171607103032837,0.00592803609922636,0,0
LPS 18:2,0.00321755369524868,0.00133297750682297,0,0
LPS 18:1,0.0093723344453982,0.00304513483026967,0,0
LPS 18:0,0.00850183661854207,0.00347985715109205,0,0
LPS 20:4,0.0363524140898377,0.0150893650087589,0,0
CE 16:1,0,0,0.936102252311887,1.21735160787991
CE 16:0,0.118668094252134,0.094354405495187,0.801348921677822,0.850529035909198
CE 18:2,3.73944986595202,1.93051422409812,18.2321848747453,21.0804923731761
CE 18:1,0.965953287004866,0.495963646491811,4.57134660027275,4.91844813081513
CE 20:5,0,0,0.204709290413179,0.266918227590385
CE 20:4,6.40089203831774,3.0623610416195,34.7639875957979,38.9041898470273
CE 22:6,0.695462822285615,0.364550103830206,4.21625228427793,5.27277439008914
CE 22:5,0,0,0.0448330509028488,0.0409519225756023
CE 22:4,0,0,0.259274592430717,0.312499897710869
HexCer 34:1;2,0,0,0.00239570842847484,0.00229262536020314
HexCer 40:1;2,0.00367434221616337,0,0,0
HexCer 42:1;2,0.0180627046513829,0.0131834035633465,0,0
PC O-32:1,0.0428864851168585,0.0737653807802742,0.00104820356351755,0.00134758826246243
PC O-32:0,0.146301023216345,0.276821994014551,0.00262317076493227,0.00273380770342777
PC O-34:3,0.0196156266279542,0.0258757979541356,0,0.00114874749136244
PC O-34:2,0.0375196033799954,0.0698445509188485,0.00604795308170121,0.00515452499733238
PC O-34:1,0.194693618214336,0.360428334443585,0.021342134220074,0.0158123931662101
PC O-34:0,0.013361172728909,0.0269834526395053,0,0
PC O-36:5,0.0325447967712803,0.0582279186410688,0.0206474168695501,0.0147709676195067
PC O-36:4,0.101022929873507,0.177261279944423,0.0336687971428201,0.0240072397011923
PC O-36:3,0.00235052981085493,0.00856070870309915,0,0
PC O-36:2,0.0204694136640663,0.0381137104406909,0.00442265366800053,0.00317665460230773
PC O-38:6,0.0140669001548546,0.0443268742754265,0.0151230507637637,0.0109787800829728
PC O-38:5,0.112674254335047,0.198956405102379,0.0396139986759452,0.028017747177405
PC O-38:4,0.0266204222562797,0,0.0116233995699108,0.00768598945611445
PC O-40:8,0.0043878534700585,0.0052112170989589,0.00833446126946083,0.00605174381742589
PC O-40:7,0.0144550551094134,0.0298417690466033,0.0107952964808994,0.00832637338996115
PC O-40:6,0.00705472684447974,0.0106419711597859,0.0060252429808463,0.00360063349675623
PC O-40:5,0.00466876712144117,0.0179946347986653,0.00308311277418659,0.00313155735134915
PC O-40:4,0.00471039222428692,0.0114901544114153,0.00502443071649497,0.00272949192278315
PC O-42:6,0,0,0.00115486952727423,0
PC 30:0,0.0712622568998586,0.12121937916785,0,0
PC 32:2,0.00896057745415218,0.0208267371475634,0.00651740575281369,0.00477845829804901
PC 32:1,0.23752978830759,0.391813786496642,0.0483063884457789,0.0330042590474151
PC 32:0,8.94549145243006,15.2748057885422,0.124000417599758,0.0874620101973751
PC 34:4,0.0395363744206966,0.0637167402692752,0.0190535258769279,0.0119358295371721
PC 34:3,1.28498862900653,0.623472381923081,0.154425507541139,0.109256970916067
PC 34:2,6.24589676511658,11.5459355185623,3.24532094459963,2.39659467964683
PC 34:1,4.97440768884121,8.17303636456132,1.52046532498039,1.05752251787275
PC 34:0,1.92547085035504,3.59980475722753,0,0
PC 36:5,0.936371374636149,1.41864895886656,0.949094602810133,0.62357242141125
PC 36:4,3.81265174752505,6.40384966363507,3.09590645720024,2.02381836640974
PC 36:3,1.38086960938785,2.5002152805071,0.739724436606153,0.657253304833016
PC 36:2,2.61357304154814,4.6391154077799,2.02944208968642,1.56331932021322
PC 36:1,0.922630335846689,1.58686006642939,0.228805682700411,0.158708401924358
PC 36:0,0.0012115838485225,0.00172795894451675,0,0
PC 38:6,1.41947132175469,2.54487322372835,1.55655126979736,1.05532693510752
PC 38:5,0.882514620110487,1.4686228729154,1.01138489789606,0.733742753004794
PC 38:4,2.85102488177445,5.06470571505141,2.65720665919135,1.59828888932273
PC 38:2,0.0554387847625998,0.106983889287604,0.020803911214141,0.0189406229115138
PC 38:1,0.0344115912081351,0.0617375440420217,0.00135574447930849,0.00173129430045306
PC 38:0,0,0.00173717752118659,0,0
PC 40:9,0.174490356111167,0.0877586129661198,0.384370434114511,0.227376861790019
PC 40:8,0.115516017835342,0.231663886044901,0.160547202179446,0.112245404819827
PC 40:7,0.519402290771789,0.823924103393116,0.908147338248776,0.533353286556804
PC 40:6,0.304881943064716,0.56529431560847,0.445781918638334,0.302404479671803
PC 40:5,0.0831860581073458,0.136672831404258,0.0316657411516946,0.0207960560387045
PC 40:4,0.0980430980546945,0.16625777588426,0.0298166392591735,0.0217048433998398
PC 40:3,0.00919149690118748,0.0183981727491607,0,0
PC 40:2,0.00423206210902359,0.007576561116743,0,0
PC 40:1,0.00557834967415563,0.0131466207924462,0,0
PC 40:0,0.00697799160540475,0.0164619561838923,0,0
PC 42:9,0.041812092601626,0.0728733832213648,0.141474833597795,0.0804443496233219
PC 42:8,0.0145669164659716,0.0214736275835014,0.0280554215061412,0.00632245353232974
PC 42:7,0.00692910683764073,0.0133367785861161,0.00875131088574127,0.0113865853062652
PC 42:5,0.00582822089695813,0.0111214081581104,0,0
PC 42:4,0.00582026468033065,0.0121589138731691,0,0
PC 42:2,0.00294835846009921,0.00386577332229613,0.011509069470951,0.00777455926584647
PC 42:1,0.00403098976776455,0.00856040917105388,0,0
PC 42:0,0.00183742724563273,0.0113103587079866,0,0
PC 44:5,0,0.00109806217238114,0,0
SM 32:1;2,0.0150234650612021,0.00745540194773957,0.00264397330759963,0.00246097980302325
SM 34:2;2,0.121955726968387,0.0675002561663421,0.0559602866645508,0.03877561502298
SM 34:1;2,1.78389223919324,1.08391830780168,0.424470250679917,0.347516742954193
SM 34:0;2,0.0287134564017707,0.0182373612899041,0,0
SM 36:2;2,0.052830952545968,0.0281689256648682,0.024381901955499,0.0185081102399629
SM 36:1;2,0.429771365981771,0.262425418482509,0.0871964268588968,0.055944519280038
SM 36:0;2,0.0313976969788218,0.0210452060907546,0.0323892452408637,0.0202721290369271
SM 38:2;2,0.0402967458727085,0.0270085099047491,0.00704682135098202,0.00971040782317837
SM 38:1;2,0.142672412532311,0.092505501813476,0,0
SM 40:2;2,0.515047913687432,0.310518532618202,0.0371539931730761,0.0298218460668808
SM 40:1;2,0.972959314873613,0.580588229080307,0.0627056034999333,0.0468861751052884
SM 42:2;2,2.69938824418155,1.58354444031018,0.398215914779658,0.310069211811882
SM 42:1;2,1.26708393549782,0.761602565051718,0.0523690454435137,0.0370572064889859
SM 44:2;2,0.0440119187007303,0.0207412733542091,0,0
SM 44:1;2,0.0109351718447833,0.00865317937346755,0,0
Cer 34:1;2,0.017797622282519,0.010071256598887,0,0
Cer 36:1;2,0.00585664215506161,0.00328273270135527,0,0
Cer 36:0;2,0.00395265625670909,0.00247472727894392,0,0
Cer 38:1;2,0.00182533552176064,0.00148816019277177,0,0
Cer 40:1;2,0.0244489408795914,0.013531768707658,0,0
Cer 40:0;2,0,0.00169103687641347,0,0
Cer 42:2;2,0.0518110215020021,0.0245789725985969,0.00555390152484772,0.00377605532382702
Cer 42:1;2,0.0469741147856919,0.026177419602445,0.00196472938630771,0.00132154923577047
Cer 42:0;2,0.00584018221949767,0.00469181720587814,0,0
Cer 44:1;2,0.00127631305790809,0,0,0
DAG 32:0,0,0.00440177897046368,0,0.00197602677996438
DAG 34:2,0.00388605547063989,0.00467081844366438,0.0091518099387017,0.00798817272661435
DAG 34:1,0.0126880110984368,0.0126606077867056,0.00499656564014264,0.00617923670765093
DAG 34:0,0,0.00528839469039915,0,0
DAG 36:4,0.0074311482477009,0.00568139949952369,0.017049553041633,0.0116741961175865
DAG 36:3,0.0200913465612021,0.00833854532922264,0.0329535496643319,0.0188380650568552
DAG 36:2,0.00742688140082724,0.00497368341831362,0.0162006733837573,0.0107098070207002
DAG 36:1,0.0311667851068289,0.043495515516789,0.00306536978819348,0.00199780138684404
DAG 36:0,0,0.00128912201347311,0,0
DAG 38:6,0,0,0.00684507921769695,0.0025873156423182
DAG 38:5,0,0.00224238344066451,0.00497776497577231,0.00196935946244259
DAG 38:4,0.00869086085483122,0.00727952921183861,0,0
LPC O-16:1,0.00125836671372624,0,0.00116690042424702,0.00100368703826339
LPC O-16:0,0.0104769596030995,0.00733171326809324,0.0153053900462367,0.0133531491026041
LPC O-18:2,0.00154483935486892,0,0.00119157686583486,0
LPC O-18:1,0.00524528772169322,0.00417606243144259,0.0107150306608602,0.0097729409230472
LPC O-18:0,0.0530727607412623,0.0390320679181472,0.0564351407273977,0.0459092922242788
LPC O-20:3,0.0013870095522998,0,0,0
LPC 14:0,0.005276123808395,0.00358407757921909,0.0109329539114479,0.00921329206899997
LPC 16:1,0.0374261244177038,0.0258753676362466,0.105570344108121,0.0979442492330976
LPC 16:0,3.30903573755516,2.25192483843238,4.26283933200263,3.66793101396999
LPC 18:3,0.0113221246641222,0.00702527770378487,0.021812939120118,0.0185513046929355
LPC 18:2,0.741882132296005,0.572832801837862,2.13582029704966,2.07462708831178
LPC 18:1,0.578408480312568,0.470460056030052,1.3638368607181,1.19770258168816
LPC 18:0,3.42032703824503,1.77648191647651,2.32317716902785,1.76021884795006
LPC 20:4,0.486961139740359,0.322762632628034,1.86091590103863,1.44040037216203
LPC 20:3,0.0335923908616392,0.0362577148201692,0.131126454556957,0.124882896290562
LPC 20:1,0.0186202714108214,0.0173612349760752,0.0359490833114157,0.0328938161910231
LPC 22:6,0.132666156787089,0.0851271183871534,0.529631717094112,0.423593174526359
LPC 22:4,0.0166696887852321,0.00937210629796149,0.0263850759269446,0.019350047525527
PA,0.218980475095362,0.0424271777054621,0.0170680209175154,0.00708849474255294
PE O-,5.39263895781933,2.78240311948635,0.15466704118878,0.106414670994334
PE,15.3223156186178,7.45101178900735,0.347184469254373,0.248306044342081
PG,0.0354693541812018,0.0114266608076437,0,0
PI,2.82560520114644,1.09622335235146,0.876624908340676,0.678243479714729
PS,4.92709729231467,2.32011824358507,0.195386928953219,0.249094931697566
LPA,0.567216109932241,0.0640102007486191,0.159075563984781,0.0909633417305871
LPE O-,0.00357851649350236,0.00101540572856749,0,0
LPE,0.53816092583942,0.269034886678822,0.263651961944196,0.209057487469803
LPG,0.00370294293556934,0,0,0
LPI,0.0277596041524897,0.00969028483003702,0.0247379405512298,0.0232550529843038
LPS O-,0.0171607103032837,0.00592803609922636,0,0
LPS,0.0574441388490266,0.0229473344969436,0,0
CE,11.9204261078124,5.94774342153483,64.0300394628304,72.8641554327736
HexCer,0.0217370468675462,0.0131834035633465,0.00239570842847484,0.00229262536020314
PC O-,0.799403570919969,1.43434615437342,0.190578192069378,0.13867424023857
PC,40.0489863164253,67.8366627635456,19.5584851754306,13.459065914959
SM,8.15598056032211,4.87391310895011,1.18453346295449,0.91702294363334
Cer,0.159782828660741,0.0879878917629494,0.00751863091115544,0.0050976045595975
DAG,0.091381088740467,0.100321778321058,0.0952403656502293,0.0639199809009764
LPC O-,0.07298522368695,0.050539843617683,0.0848140387245764,0.0700390692881935
LPC,8.79218740888412,5.57906514280544,12.807998127866,10.8673086846105
